product_id,product_name,subcategory,brand,unit_price,description
P001,Amul Butter,Milk & Dairy,Amul,310,Rich and creamy unsalted butter
P002,Amul Cheese Slices,Milk & Dairy,Amul,220,Processed cheese slices for sandwiches
P003,Amul Cheese Block,Milk & Dairy,Amul,250,Block of processed cheese for cooking
P004,Amul Fresh Cream,Milk & Dairy,Amul,180,Thick and creamy fresh cream for cooking
P005,Amul Milk Full Cream 1L,Milk & Dairy,Amul,60,Full cream milk for daily use
P006,Amul Milk Toned 1L,Milk & Dairy,Amul,50,Toned milk with balanced fat content
P007,Amul Milk Double Toned 1L,Milk & Dairy,Amul,45,Low-fat double toned milk
P008,Amul Ghee 1L,Ghee & Cooking,Amul,1100,Premium cow ghee for cooking and sweets
P009,Amul Ghee 500ml,Ghee & Cooking,Amul,600,High-quality ghee for daily use
P010,Amul Ice Cream Vanilla,Ice Cream,Amul,60,Classic vanilla-flavored ice cream tub
P011,Amul Ice Cream Chocolate,Ice Cream,Amul,70,Rich chocolate ice cream tub
P012,Amul Ice Cream Butterscotch,Ice Cream,Amul,70,Delicious butterscotch ice cream
P013,Amul Ice Cream Strawberry,Ice Cream,Amul,65,Fresh strawberry-flavored ice cream
P014,Amul Lassi Mango 200ml,Beverages,Amul,35,Refreshing mango lassi drink
P015,Amul Lassi Sweet 200ml,Beverages,Amul,30,Smooth and sweet lassi drink
P016,Amul Chocolate Bar,Chocolates & Sweets,Amul,20,Classic milk chocolate bar
P017,Amul Dark Chocolate 50g,Chocolates & Sweets,Amul,50,Rich dark chocolate for cocoa lovers
P018,Amul Kool Milk Drink Mango,Flavoured Milk,Amul,25,Mango-flavored milk drink
P019,Amul Kool Milk Drink Strawberry,Flavoured Milk,Amul,25,Strawberry-flavored milk drink
P020,Amul Kool Milk Drink Chocolate,Flavoured Milk,Amul,25,Chocolate-flavored milk drink
P021,Amul Probiotic Dahi 500g,Yogurt & Dahi,Amul,55,Live-culture probiotic yogurt
P022,Amul Probiotic Dahi 1kg,Yogurt & Dahi,Amul,100,Thick and creamy probiotic yogurt
P023,Amul Paneer 200g,Milk & Dairy,Amul,90,Fresh and soft Indian cottage cheese
P024,Amul Paneer 500g,Milk & Dairy,Amul,220,Soft paneer for cooking and salads
P025,Amul Mithai Gulab Jamun,Sweets,Amul,150,Ready-to-eat Gulab Jamun in sugar syrup
P026,Amul Mithai Rasgulla,Sweets,Amul,140,Soft spongy rasgulla in sugar syrup
P027,Amul Ice Cream Cone Chocolate,Ice Cream,Amul,50,Chocolate-flavored ice cream cone
P028,Amul Ice Cream Sandwich,Ice Cream,Amul,55,Classic ice cream sandwich with chocolate coating
P029,Amul Butter Pouch 100g,Milk & Dairy,Amul,60,Convenient butter pouch for everyday use
P030,Amul Cheese Cubes,Milk & Dairy,Amul,120,Cheese cubes for snacks and cooking
P031,Amul Milk Full Cream 500ml,Milk & Dairy,Amul,35,Rich full cream milk for daily use
P032,Amul Milk Toned 500ml,Milk & Dairy,Amul,28,Toned milk for balanced nutrition
P033,Amul Milk Double Toned 500ml,Milk & Dairy,Amul,25,Low-fat milk for health-conscious consumers
P034,Amul Cream 250ml,Milk & Dairy,Amul,100,Thick fresh cream for desserts and cooking
P035,Amul Chocolate Ice Cream Tub,Ice Cream,Amul,120,Chocolate ice cream in 500ml tub
P036,Amul Vanilla Ice Cream Tub,Ice Cream,Amul,120,Vanilla ice cream in 500ml tub
P037,Amul Strawberry Ice Cream Tub,Ice Cream,Amul,120,Strawberry ice cream in 500ml tub
P038,Amul Butterscotch Ice Cream Tub,Ice Cream,Amul,120,Butterscotch ice cream in 500ml tub
P039,Amul Coffee Ice Cream Tub,Ice Cream,Amul,120,Coffee-flavored ice cream in 500ml tub
P040,Amul Lassi Mango 500ml,Beverages,Amul,70,Refreshing mango lassi for sharing
P041,Amul Lassi Sweet 500ml,Beverages,Amul,60,Smooth sweet lassi for family
