product_id,product_name,subcategory,brand,unit_price,description
A001,Instant Pot Duo 7-in-1 Electric Pressure Cooker,Home & Kitchen,Instant Pot,8999,Instant Pot Duo 7-in-1 Electric Pressure Cooker by Instant Pot in category Home & Kitchen. High-quality product for your needs.
A002,Dyson V11 Torque Drive Cordless Vacuum Cleaner,Home & Kitchen,Dyson,49999,Dyson V11 Torque Drive Cordless Vacuum Cleaner by Dyson in category Home & Kitchen. High-quality product for your needs.
A003,Ninja Foodi 9-in-1 Pressure Cooker & Air Fryer,Home & Kitchen,Ninja,15999,Ninja Foodi 9-in-1 Pressure Cooker & Air Fryer by Ninja in category Home & Kitchen. High-quality product for your needs.
A004,iRobot Roomba 675 Robot Vacuum,Home & Kitchen,iRobot,19999,iRobot Roomba 675 Robot Vacuum by iRobot in category Home & Kitchen. High-quality product for your needs.
A005,Hamilton Beach FlexBrew 2-Way Coffee Maker,Home & Kitchen,Hamilton Beach,7999,Hamilton Beach FlexBrew 2-Way Coffee Maker by Hamilton Beach in category Home & Kitchen. High-quality product for your needs.
A006,Cuisinart DCC-3200P1 Coffee Maker,Home & Kitchen,Cuisinart,6999,Cuisinart DCC-3200P1 Coffee Maker by Cuisinart in category Home & Kitchen. High-quality product for your needs.
A007,Keurig K-Elite Single Serve Coffee Maker,Home & Kitchen,Keurig,8499,Keurig K-Elite Single Serve Coffee Maker by Keurig in category Home & Kitchen. High-quality product for your needs.
A008,Lodge Pre-Seasoned Cast Iron Skillet,Home & Kitchen,Lodge,2499,Lodge Pre-Seasoned Cast Iron Skillet by Lodge in category Home & Kitchen. High-quality product for your needs.
A009,OXO Good Grips 3-in-1 Avocado Slicer,Home & Kitchen,OXO,799,OXO Good Grips 3-in-1 Avocado Slicer by OXO in category Home & Kitchen. High-quality product for your needs.
A010,Lodge Cast Iron Dutch Oven,Home & Kitchen,Lodge,4999,Lodge Cast Iron Dutch Oven by Lodge in category Home & Kitchen. High-quality product for your needs.
A011,Apple AirPods Pro (2nd Gen),Electronics,Apple,24999,Apple AirPods Pro (2nd Gen) by Apple in category Electronics. High-quality product for your needs.
A012,Samsung Galaxy S23 Ultra Smartphone,Electronics,Samsung,104999,Samsung Galaxy S23 Ultra Smartphone by Samsung in category Electronics. High-quality product for your needs.
A013,Sony WH-1000XM5 Noise-Canceling Headphones,Electronics,Sony,29999,Sony WH-1000XM5 Noise-Canceling Headphones by Sony in category Electronics. High-quality product for your needs.
A014,Amazon Echo (4th Gen) Smart Speaker,Electronics,Amazon,8999,Amazon Echo (4th Gen) Smart Speaker by Amazon in category Electronics. High-quality product for your needs.
A015,Fitbit Charge 5 Fitness Tracker,Electronics,Fitbit,12999,Fitbit Charge 5 Fitness Tracker by Fitbit in category Electronics. High-quality product for your needs.
A016,GoPro HERO11 Black Action Camera,Electronics,GoPro,49999,GoPro HERO11 Black Action Camera by GoPro in category Electronics. High-quality product for your needs.
A017,Dell XPS 13 Laptop,Electronics,Dell,129999,Dell XPS 13 Laptop by Dell in category Electronics. High-quality product for your needs.
A018,Anker PowerCore 10000 Portable Charger,Electronics,Anker,1999,Anker PowerCore 10000 Portable Charger by Anker in category Electronics. High-quality product for your needs.
A019,Logitech MX Master 3 Wireless Mouse,Electronics,Logitech,8999,Logitech MX Master 3 Wireless Mouse by Logitech in category Electronics. High-quality product for your needs.
A020,Razer Kraken Ultimate RGB USB Gaming Headset,Electronics,Razer,14999,Razer Kraken Ultimate RGB USB Gaming Headset by Razer in category Electronics. High-quality product for your needs.
A021,Bose QuietComfort 45 Wireless Headphones,Electronics,Bose,29999,Bose QuietComfort 45 Wireless Headphones by Bose in category Electronics. High-quality product for your needs.
A022,"Samsung 65"" QLED 4K Smart TV",Electronics,Samsung,79999,"Samsung 65"" QLED 4K Smart TV by Samsung in category Electronics. High-quality product for your needs."
A023,Apple MacBook Air M2 Laptop,Electronics,Apple,124999,Apple MacBook Air M2 Laptop by Apple in category Electronics. High-quality product for your needs.
