product_id,product_name,subcategory,brand,unit_price,description
WM001,Great Value Whole Wheat Flour 5lb,Grocery & Staples,Great Value,6.50,High-quality whole wheat flour for daily baking and cooking
WM002,Nestle Coffee-mate Coffee Creamer 16oz,Beverages,Nestle,4.99,Creamy coffee creamer to enhance flavor
WM003,Pepsi Soda 12-Pack 12oz,Beverages,Pepsi,6.99,Carbonated soft drink pack for refreshment
WM004,Lays Classic Potato Chips 8oz,Snacks & Confectionery,Lays,2.99,Classic salted potato chips for snacking
WM005,Colgate Total Toothpaste 6oz,Personal Care,Colgate,3.50,Toothpaste for cavity protection and gum care
WM006,Dove Beauty Bar 4oz,Personal Care,Dove,2.50,Nourishing soap bar for smooth and healthy skin
WM007,Tide Liquid Laundry Detergent 50oz,Cleaning Supplies,Tide,12.99,Liquid detergent for bright and clean clothes
WM008,Mainstays Twin Sheet Set 4-Piece,Household & Kitchen,Mainstays,24.99,Cotton sheet set with pillowcases for comfort
WM009,Great Value Vegetable Oil 48oz,Grocery & Staples,Great Value,5.99,Refined vegetable oil suitable for cooking and frying
WM010,Pampers Baby Diapers Size 3 96-Count,Baby Care,Pampers,34.99,Soft and absorbent diapers for babies
WM011,Huggies Baby Wipes 504ct,Baby Care,Huggies,19.99,Gentle wipes for babies’ skin care
WM012,Equate Hand Sanitizer 8oz,Personal Care,Equate,2.99,Alcohol-based hand sanitizer for hygiene
WM013,Great Value Granulated Sugar 4lb,Grocery & Staples,Great Value,3.50,Refined sugar for daily cooking and baking
WM014,Kellogg's Frosted Flakes 18oz,Packaged Foods,Kellogg's,4.99,Crispy sweetened breakfast cereal
WM015,Sam's Choice Sparkling Water 12-Pack 12oz,Beverages,Sam’s Choice,6.50,Refreshing sparkling water pack
WM016,Colgate Soft Toothbrush,Personal Care,Colgate,1.99,Soft bristle toothbrush for daily oral care
WM017,Dove Shampoo 12oz,Personal Care,Dove,5.99,Nourishing shampoo for smooth hair
WM018,Tide Pods Laundry Detergent 35-Count,Cleaning Supplies,Tide,15.99,Convenient detergent pods for washing clothes
WM019,Great Value Canola Oil 48oz,Grocery & Staples,Great Value,5.50,Healthy cooking oil for frying and baking
WM020,Nestle Toll House Chocolate Chips 12oz,Packaged Foods,Nestle,4.99,Chocolate chips for baking and desserts
WM021,Lays Barbecue Potato Chips 8oz,Snacks & Confectionery,Lays,2.99,Smoky flavored potato chips for snacking
WM022,Kellogg's Rice Krispies 18oz,Packaged Foods,Kellogg's,4.99,Crispy rice cereal for breakfast
WM023,Equate Liquid Hand Soap 7.5oz,Personal Care,Equate,1.99,Gentle liquid soap for daily use
WM024,Mainstays Bath Towels 2-Pack,Household & Kitchen,Mainstays,14.99,Soft and absorbent cotton bath towels
WM025,Pampers Sensitive Baby Wipes 56ct,Baby Care,Pampers,3.99,Gentle wipes for newborn skin
WM026,Huggies Little Swimmers Size 4 24ct,Baby Care,Huggies,9.99,Swim diapers for water activities
WM027,Great Value All-Purpose Flour 5lb,Grocery & Staples,Great Value,4.99,Versatile flour for baking and cooking
WM028,Pepsi Cola 2L,Beverages,Pepsi,1.99,Refreshing cola beverage
WM029,Nestle Milo 400g,Beverages,Nestle,5.99,Chocolate malt drink for children and adults
WM030,Lays Sour Cream & Onion 8oz,Snacks & Confectionery,Lays,2.99,Flavored potato chips with a tangy twist
WM031,Colgate Sensitive Pro-Relief Toothpaste 3oz,Personal Care,Colgate,3.99,Toothpaste for sensitive teeth
WM032,Dove Conditioner 12oz,Personal Care,Dove,5.99,Hair conditioner for smooth and shiny hair
WM033,Tide Ultra Powder 6lb,Cleaning Supplies,Tide,18.99,Detergent powder for large loads and deep cleaning
WM034,Mainstays Pillow 2-Pack,Household & Kitchen,Mainstays,19.99,Soft pillows for comfortable sleep
WM035,Great Value Brown Sugar 2lb,Grocery & Staples,Great Value,3.99,Unrefined brown sugar for cooking and baking
WM036,Kellogg's Nutri-Grain Cereal Bars 6ct,Packaged Foods,Kellogg's,3.99,Healthy breakfast bars with whole grains
WM037,Sam's Choice Sparkling Lemon Water 12-Pack 12oz,Beverages,Sam’s Choice,6.50,Refreshing lemon-flavored sparkling water
WM038,Pampers Diaper Rash Cream 4oz,Baby Care,Pampers,4.99,Cream to protect babies from diaper rashes
WM039,Huggies Baby Lotion 400ml,Baby Care,Huggies,6.99,Gentle lotion for soft baby skin
WM040,Great Value Peanut Butter 16oz,Grocery & Staples,Great Value,3.99,Creamy peanut butter for sandwiches and snacks
