product_id,product_name,subcategory,brand,unit_price,description
P001,L'Oreal Paris Shampoo,haircare,L'Oreal,299,Shampoo for smooth and shiny hair
P002,Dove Hair Fall Rescue Shampoo,haircare,Dove,249,Reduces hair fall and strengthens hair
P003,Sunsilk Black Shine Shampoo,haircare,Sunsilk,199,Enhances black shine and smoothness
P004,Maybelline Fit Me Foundation,makeup,Maybelline,499,Matte finish foundation for all skin types
P005,Revlon Nail Enamel,nailcare,Revlon,199,Long-lasting vibrant nail color
P006,Nykaa Vitamin C Serum,skincare,Nykaa,599,Brightens skin and reduces dark spots
P007,Himalaya Moisturizing Cream,skincare,Himalaya,149,Daily moisturizer for soft and hydrated skin
P008,Lotus Herbals Sunblock SPF 50,skincare,Lotus Herbals,349,Protects skin from harmful UV rays
P009,Mac Lipstick,makeup,Mac,1299,Long-lasting bold lipstick
P010,Parachute Hair Oil,haircare,Parachute,199,Nourishing hair oil for strong and healthy hair
P011,Cotton Bedsheet Set,home & kitchen,HomeStyle,899,Soft cotton bedsheet with pillow covers
P012,Non-stick Frying Pan,home & kitchen,KitchenPro,699,Durable non-stick pan for everyday cooking
P013,Stainless Steel Water Bottle,home & kitchen,HydroMax,499,Leak-proof water bottle for daily use
P014,Office Notebook,stationery,ClassMate,59,200-page ruled notebook for school and office
P015,Gel Pen Pack,stationery,Reynolds,129,Smooth-writing gel pens, pack of 5
P016,Yoga Mat,sports & fitness,FitnessPro,799,Non-slip yoga mat for all exercises
P017,Kettlebell Set,sports & fitness,FitnessPro,1499,Adjustable kettlebell set for strength training
P018,Kids Puzzle Toy,baby & kids,ToyFun,299,Educational puzzle toy for children 3+
P019,Baby Diapers,baby & kids,Huggies,599,Soft and absorbent diapers for infants
P020,Car Phone Holder,automotive & tools,AutoTech,349,Universal car phone holder with adjustable grip
P021,Hand Blender,home & kitchen,KitchenPro,1299,Powerful hand blender for smoothies and soups
P022,Microwave Oven,home & kitchen,Panasonic,6999,20L microwave oven with multiple cooking modes
P023,LED Desk Lamp,home & kitchen,HomeLight,899,Adjustable LED lamp with touch control
P024,Tea Kettle,home & kitchen,KitchenPro,599,Stainless steel kettle with heat-resistant handle
P025,Ceramic Dinner Set,home & kitchen,HomeStyle,1599,12-piece ceramic dinner set for daily use
P026,Air Fryer,home & kitchen,Ninja,6999,Oil-less air fryer for healthy cooking
P027,Electric Rice Cooker,home & kitchen,Panasonic,3499,1.8L rice cooker with keep warm function
P028,Vacuum Cleaner,home & kitchen,Dyson,15999,High suction vacuum cleaner for home cleaning
P029,Cotton Curtain Set,home & kitchen,HomeStyle,1299,Durable cotton curtains for living room
P030,Scented Candle Pack,home & kitchen,HomeAura,399,Set of 3 aromatic scented candles
P031,Drawing Book,stationery,ClassMate,49,100-page drawing book for sketching
P032,Sticky Notes Pack,stationery,PostIt,199,Colorful sticky notes for reminders
P033,Whiteboard Marker Pack,stationery,Luxor,149,Pack of 4 erasable whiteboard markers
P034,Pencil Box,stationery,ClassMate,79,Plastic pencil box with multiple compartments
P035,Stapler,stationery,Swingline,299,Durable office stapler with 1000 staples
P036,Highlighter Set,stationery,Reynolds,159,Pack of 5 fluorescent highlighters
P037,Marker Pen Set,stationery,Camlin,199,Set of 12 colored marker pens
P038,Binder Clips Pack,stationery,ClassMate,129,Set of 12 strong binder clips
P039,Desk Organizer,stationery,HomeStyle,499,Multi-compartment desk organizer
P040,Correction Tape,stationery,Reynolds,99,5mm x 6m correction tape
P041,Running Shoes,fashion,Nike,3999,Lightweight running shoes for men
P042,Sports Sneakers,fashion,Adidas,4499,Comfortable sneakers for casual and sports wear
P043,Leather Wallet,fashion,WildHorn,1299,Genuine leather wallet with multiple compartments
P044,Handbag,fashion,Caprese,2499,Stylish handbag for everyday use
P045,Backpack,fashion,WildCraft,1799,Durable backpack for travel and school
P046,Formal Shirt,fashion,Peter England,1499,Cotton formal shirt for office wear
P047,T-shirt,fashion,H&M,599,Casual cotton T-shirt for daily wear
P048,Jeans,fashion,Levis,2999,Denim jeans with comfortable fit
P049,Jewelry Set,fashion,Voylla,1299,Elegant jewelry set for special occasions
