product_id,product_name,subcategory,brand,unit_price,description
P001,Redmi Note 12 5G,mobile,Xiaomi,14999,Powerful 5G smartphone with AMOLED display
P002,Samsung Galaxy M14,mobile,Samsung,13999,Performance phone with long-lasting battery
P003,Apple iPhone 14,mobile,Apple,69999,Premium smartphone with A15 Bionic chip
P004,OnePlus Nord CE 3 Lite,mobile,OnePlus,19999,Sleek design with fast charging
P005,Realme Narzo 60x,mobile,Realme,12999,Stylish budget 5G phone
P006,HP Pavilion 14,laptop,HP,56999,Compact laptop for students and professionals
P007,Dell Inspiron 15 3520,laptop,Dell,58999,Reliable daily use laptop with Intel i5
P008,ASUS Vivobook Go 14,laptop,ASUS,49999,Lightweight laptop with long battery life
P009,Lenovo IdeaPad Slim 3,laptop,Lenovo,52999,Thin and efficient laptop for multitasking
P010,Apple MacBook Air M2,laptop,Apple,114999,Ultra-thin premium notebook
P011,boAt Airdopes 161,earbuds,boAt,999,Wireless earbuds with immersive sound
P012,Noise ColorFit Pro 4,smartwatch,Noise,2999,Feature-rich smartwatch with health tracking
P013,Fire-Boltt Ninja Call Pro,smartwatch,Fire-Boltt,2499,Bluetooth calling smartwatch
P014,MI Power Bank 3i,accessory,Xiaomi,1299,20000mAh high-speed power bank
P015,SanDisk 128GB Pendrive,storage,SanDisk,899,Fast USB 3.0 pendrive
P016,Sony WH-CH520 Headphones,headphones,Sony,3999,Wireless headphones with deep bass
P017,Canon EOS 1500D DSLR,camera,Canon,39999,DSLR for photography enthusiasts
P018,LG 32-inch LED TV,television,LG,17999,HD ready smart LED TV
P019,Samsung 43-inch Smart TV,television,Samsung,29999,Full HD smart TV with vivid colors
P020,Mi 5A 32-inch Smart TV,television,Xiaomi,15999,Android smart TV for streaming
P021,Philips Trimmer BT3102,trimmer,Philips,1099,Beard trimmer with adjustable blades
P022,Havells Hair Dryer,hair_dryer,Havells,999,Compact and efficient hair dryer
P023,Maybelline Fit Me Foundation,makeup,Maybelline,499,Matte foundation for all skin types
P024,Lakme Eyeconic Kajal,makeup,Lakme,199,Smudge-proof kajal for daily use
P025,L'Oreal Paris Shampoo,haircare,L'Oreal,299,Shampoo for smooth and shiny hair
P026,Dove Intense Repair Conditioner,haircare,Dove,349,Moisturizing conditioner for dry hair
P027,Nivea Men Face Wash,skincare,Nivea,249,Refreshing face wash for men
P028,Mamaearth Vitamin C Serum,skincare,Mamaearth,499,Skin brightening face serum
P029,Plum Green Tea Night Cream,skincare,Plum,599,Oil-free night cream for glowing skin
P030,Beardo Beard Oil,grooming,Beardo,349,Nourishing beard oil for men
P031,Puma Men's T-Shirt,men_clothing,Puma,999,Comfortable sports t-shirt
