Transaction_ID,Date,SKU_ID,Product_Name,Category,Quantity_Sold,Unit_Price,Total_Amount,Store_Location,Payment_Method,Discount_Applied,Customer_Type,Channel
T000001,2025-07-09,69924743,Amul Shrikhand Mango 500g,Specialty Products,14,400.0,5600.0,South,Net Banking,655.21,New,franchise store
T000002,2025-06-21,82147020,Amul Almond Bar 40g,Chocolates,11,57.0,627.0,Central,Net Banking,7.28,First-time,franchise store
T000003,2025-02-02,14921131,Amul Cheesy Corn Puffs 150g,Snacks & Savories,18,550.0,9900.0,North,Wallet,437.06,Occasional,Offline Store
T000004,2024-12-24,11071426,Amul Buffalo Ghee 1L,Ghee & Cooking Essentials,21,703.0,14763.0,Central,Card,965.45,Loyal,Offline Store
T000005,2023-11-17,68137847,Amul Kulfi 60ml,Ice Creams,12,107.0,1284.0,East,Cash,134.79,Occasional,Online Portal
T000006,2024-06-19,94900507,Amul Peanut Spread Crunchy 200g,Butter & Spreads,10,100.0,1000.0,East,Cash,63.12,Seasonal,Offline Store
T000007,2025-08-22,91017437,Amul Lactose-Free Milk 1L,Dairy Products,15,100.0,1500.0,Central,Wallet,186.03,First-time,Offline Store
T000008,2025-03-24,71930565,Amul Cow Ghee 1L,Ghee & Cooking Essentials,17,800.0,13600.0,South,Net Banking,1621.16,Regular,Online Portal
T000009,2023-11-09,57348568,Amul Peanut Spread Creamy 200g,Butter & Spreads,4,51.0,204.0,North,Cash,26.08,First-time,Mobile App
T000010,2023-11-17,79666428,Amul Pizza Cheese 1kg,Cheese & Cheese Products,1,500.0,500.0,North,Card,32.62,First-time,Online Portal
T000011,2024-08-20,11288909,Amul Mithai Mate Condensed Milk 400g,Dairy Products,17,100.0,1700.0,Central,Wallet,69.18,New,franchise store
T000012,2025-05-24,94900507,Amul Peanut Spread Crunchy 200g,Butter & Spreads,7,100.0,700.0,West,Cash,18.53,Occasional,Mobile App
T000013,2023-11-06,58937020,Amul Chocolate Brownie 100g,Bakery Items,10,218.0,2180.0,East,Net Banking,341.88,Seasonal,franchise store
T000014,2025-01-24,64829395,Amul Cream Tetra Pack 250ml,UHT & Long Life,12,150.0,1800.0,West,Net Banking,330.42,Returning,Mobile App
