product_id,product_name,subcategory,brand,unit_price,description
T001,Tira Men’s Cotton T-Shirt,Men Clothing,Tira,899,Soft cotton T-shirt with round neck and short sleeves, ideal for casual wear
T002,Jack & Jones Men’s Slim Shirt,Men Clothing,Jack & Jones,1999,Slim-fit casual shirt with button-down collar
T003,Vero Moda Women’s Maxi Dress,Women Clothing,Vero Moda,3599,Elegant maxi dress with floral prints and flowy silhouette
T004,ONLY Women’s Top,Women Clothing,ONLY,1499,Casual top with short sleeves and soft cotton fabric
T005,UCB Kids’ Printed T-Shirt,Kids Clothing,UCB Kids,899,Comfortable cotton T-shirt with playful print
T006,Wrangler Men’s Jeans,Men Clothing,Wrangler,2499,Denim jeans with stretchable fabric for comfort
T007,Gini & Jony Kids’ Dress,Kids Clothing,Gini & Jony,1299,Cute cotton dress with floral prints
T008,Levis Men’s Polo Shirt,Men Clothing,Levis,1799,Casual polo shirt with ribbed collar and short sleeves
T009,H&M Women’s Leggings,Women Clothing,H&M,999,High-waist leggings made from breathable soft fabric
T010,Chicco Kids’ Hoodie,Kids Clothing,Chicco,1199,Soft cotton hoodie with front pocket
T011,Adidas Men’s Sneakers,Men Footwear,Adidas,3499,Lace-up sneakers with cushioned sole for workouts
T012,Nike Women’s Running Shoes,Women Footwear,Nike,4599,Lightweight running shoes with excellent grip
T013,Puma Kids’ Shoes,Kids Footwear,Puma,1799,Comfortable sports shoes for children
T014,Skechers Men’s Casual Shoes,Men Footwear,Skechers,3999,Slip-on casual shoes with memory foam
T015,Bata Women’s Flats,Women Footwear,Bata,1999,Comfortable slip-on flats for daily wear
T016,Fossil Men’s Leather Wallet,Men Accessories,Fossil,2499,Genuine leather wallet with multiple card slots
T017,Titan Women’s Watch,Women Accessories,Titan,4999,Stylish analog watch with stainless steel strap
T018,Fastrack Men’s Backpack,Men Accessories,Fastrack,2199,Durable backpack with multiple compartments
T019,Hidesign Women’s Handbag,Women Accessories,Hidesign,10999,Luxury leather handbag with premium finishing
T020,Maybelline Lipstick,Beauty & Personal Care,Maybelline,499,Smooth lipstick with rich color payoff
T021,L’Oreal Shampoo,Beauty & Personal Care,L’Oreal,299,Shampoo for smooth and shiny hair
T022,Nivea Body Lotion,Beauty & Personal Care,Nivea,399,Moisturizing body lotion for daily use
T023,Biotique Face Wash,Beauty & Personal Care,Biotique,349,Herbal face wash suitable for all skin types
T024,Sleepwell Single Mattress,Home & Lifestyle,Sleepwell,10999,Comfortable single mattress with foam support
T025,Amazon Basics Bedsheet Set,Home & Lifestyle,Amazon Basics,2499,Cotton bedsheet set with pillow covers
T026,FabIndia Cotton Curtain,Home & Lifestyle,FabIndia,1999,Decorative cotton curtain for windows
T027,Cello Water Bottle,Home & Lifestyle,Cello,299,Durable and lightweight water bottle
T028,Tira Women’s Cardigan,Women Clothing,Tira,1599,Soft knit cardigan perfect for layering
T029,Jack & Jones Men’s Hoodie,Men Clothing,Jack & Jones,2099,Cotton hoodie with drawstring and kangaroo pocket
T030,Vero Moda Women’s Skirt,Women Clothing,Vero Moda,2499,Flared skirt with elastic waistband for casual wear
T031,UCB Kids’ Shorts,Kids Clothing,UCB Kids,799,Comfortable cotton shorts for children
T032,Wrangler Men’s Jacket,Men Clothing,Wrangler,3999,Lightweight casual jacket with zipper closure
