SKU_ID,Product_Name,Category,Sub_Category,Pack_Size,Unit_Cost_Price,Unit_Selling_Price,Stock_Quantity,Reorder_Level,Supplier_Name,Supplier_Lead_Time_Days,Expiry_Date,Storage_Type,Manufacturing_Date,Batch_Number,Shelf_Life_Days,Location
21365294,Amul Greek Yogurt Blueberry 100g,Probiotic & Health Range,Greek Yogurt,100g,245,336.61,106,688,Gentry-Howard,4,2025-08-04,Chilled,2025-03-24,B6430,133,Warehouse-8
18439717,Amul Frozen Cheese Corn Nuggets 400g,Bakery & Frozen,Frozen Sweets,400g,250,367.38,248,178,Stephens Group,16,2025-12-05,Cold Storage,2025-05-06,B2974,213,Warehouse-5
16994393,Amul Taaza Milk 1L,Dairy Products,Others,1L,100,128.05,375,137,"Wyatt, Kirk and Ellis",18,2025-05-24,Hot Storage,2024-11-23,B3339,182,Warehouse-2
63607529,Amul Emmental Cheese 200g,Cheese & Cheese Products,Emmental Cheese,200g,500,661.68,286,174,Shepherd and Sons,28,2025-11-23,Refrigerated,2025-06-09,B5437,167,Warehouse-1
12571772,Amul Basundi 1L,Specialty Products,Others,1L,400,582.64,191,398,Bailey Inc,26,2025-05-05,hot & Cold Storage,2024-11-24,B4106,162,Warehouse-9
16994393,Amul Taaza Milk 1L,Dairy Products,Others,1L,100,119.91,296,120,Gardner Ltd,6,2026-05-10,Hot Storage,2025-08-08,B5420,275,Warehouse-3
79666428,Amul Pizza Cheese 1kg,Cheese & Cheese Products,Gouda Cheese,1kg,500,575.71,252,863,Lowe Group,21,2025-01-08,Hot Storage,2024-11-05,B1815,64,Warehouse-7
64335100,Amul Slim & Trim Milk 500ml,Dairy Products,Others,500ml,100,135.72,320,553,Mcdonald Inc,15,2025-10-25,Ambient,2025-08-06,B9754,80,Warehouse-10
93684965,Amul Mithai Mate UHT 200g,UHT & Long Life,Others,200g,150,189.47,104,811,"Butler, Bishop and Byrd",7,2025-11-02,hot & Cold Storage,2024-11-07,B2685,360,Warehouse-8
88384214,Amul Lite Spread 250g,Butter & Spreads,Cheese Spread,250g,54,79.86,131,726,Adams Inc,12,2025-05-08,Frozen,2024-08-29,B4390,252,Warehouse-4
