product_id,product_name,subcategory,brand,unit_price,description
ERP001,Odoo CRM Module,ERP Modules,Odoo,8100,"Manage leads, contacts, and customer relationships efficiently Offered by Odoo in category ERP Modules."
ERP002,Odoo Sales Module,HR & Payroll,Odoo,8200,"Manage quotations, orders, invoicing, and track sales performance Offered by Odoo in category HR & Payroll."
ERP003,Odoo Inventory Management,Inventory & Supply Chain,Odoo,8300,"Track warehouse stock, shipments, and inventory in real-time Offered by Odoo in category Inventory & Supply Chain."
ERP004,Odoo Accounting Module,Marketing,Odoo,8400,Complete accounting solution with invoicing and reporting Offered by Odoo in category Marketing.
ERP005,Odoo HR Module,Accounting,Odoo,8500,"Employee data management, payroll, leaves, and appraisal tracking Offered by Odoo in category Accounting."
ERP006,Odoo Marketing Automation,Custom Services,Odoo,8600,"Automate campaigns, social media posts, and lead scoring Offered by Odoo in category Custom Services."
ERP007,Odoo eCommerce Module,Integrations,Odoo,8700,Create and manage online stores integrated with ERP Offered by Odoo in category Integrations.
ERP008,Odoo Point of Sale,CRM & Analytics,Odoo,8800,POS solution for retail and restaurants with real-time sync Offered by Odoo in category CRM & Analytics.
ERP009,Odoo Project Management,ERP Modules,Odoo,8900,"Manage projects, tasks, stages, and collaboration Offered by Odoo in category ERP Modules."
ERP010,Odoo Helpdesk Module,HR & Payroll,Odoo,9000,Ticketing system for customer support with SLA tracking Offered by Odoo in category HR & Payroll.
ERP011,Odoo BI Dashboard,Inventory & Supply Chain,Odoo,9100,"Interactive dashboards for KPIs, sales, and operational insights Offered by Odoo in category Inventory & Supply Chain."
ERP012,Odoo Custom Integration Service,Marketing,Odoo,9200,Integrate modules with third-party applications Offered by Odoo in category Marketing.
ERP013,Odoo Mobile App Development,Accounting,Odoo,9300,Custom mobile apps integrated with ERP backend Offered by Odoo in category Accounting.
ERP014,Odoo Cloud Hosting Service,Custom Services,Odoo,9400,Secure and scalable cloud hosting with backups Offered by Odoo in category Custom Services.
ERP015,Odoo Training Services,Integrations,Odoo,9500,Hands-on training for employees on ERP and modules Offered by Odoo in category Integrations.
ERP016,Odoo Chatbot Integration,CRM & Analytics,Odoo,9600,AI-based chatbot for customer support and automation Offered by Odoo in category CRM & Analytics.
ERP017,Odoo API Development,ERP Modules,Odoo,9700,Custom APIs for integration with external software Offered by Odoo in category ERP Modules.
ERP018,Odoo Workflow Automation,HR & Payroll,Odoo,9800,Automate business workflows across modules Offered by Odoo in category HR & Payroll.
ERP019,Odoo Subscription Management,Inventory & Supply Chain,Odoo,9900,"Manage recurring subscriptions, billing, and churn Offered by Odoo in category Inventory & Supply Chain."
ERP020,Odoo Purchase Analytics,Marketing,Odoo,10000,Monitor purchasing trends and supplier performance Offered by Odoo in category Marketing.
ERP021,Zoho CRM Module,Accounting,Zoho,10100,"Manage leads, contacts, and customer relationships efficiently Offered by Zoho in category Accounting."
ERP022,Zoho Sales Module,Custom Services,Zoho,10200,"Manage quotations, orders, invoicing, and track sales performance Offered by Zoho in category Custom Services."
ERP023,Zoho Inventory Management,Integrations,Zoho,10300,"Track warehouse stock, shipments, and inventory in real-time Offered by Zoho in category Integrations."
ERP024,Zoho Accounting Module,CRM & Analytics,Zoho,10400,Complete accounting solution with invoicing and reporting Offered by Zoho in category CRM & Analytics.
ERP025,Zoho HR Module,ERP Modules,Zoho,10500,"Employee data management, payroll, leaves, and appraisal tracking Offered by Zoho in category ERP Modules."
ERP026,Zoho Marketing Automation,HR & Payroll,Zoho,10600,"Automate campaigns, social media posts, and lead scoring Offered by Zoho in category HR & Payroll."
ERP027,Zoho eCommerce Module,Inventory & Supply Chain,Zoho,10700,Create and manage online stores integrated with ERP Offered by Zoho in category Inventory & Supply Chain.
ERP028,Zoho Point of Sale,Marketing,Zoho,10800,POS solution for retail and restaurants with real-time sync Offered by Zoho in category Marketing.
ERP029,Zoho Project Management,Accounting,Zoho,10900,"Manage projects, tasks, stages, and collaboration Offered by Zoho in category Accounting."
ERP030,Zoho Helpdesk Module,Custom Services,Zoho,11000,Ticketing system for customer support with SLA tracking Offered by Zoho in category Custom Services.
ERP031,Zoho BI Dashboard,Integrations,Zoho,11100,"Interactive dashboards for KPIs, sales, and operational insights Offered by Zoho in category Integrations."
ERP032,Zoho Custom Integration Service,CRM & Analytics,Zoho,11200,Integrate modules with third-party applications Offered by Zoho in category CRM & Analytics.
ERP033,Zoho Mobile App Development,ERP Modules,Zoho,11300,Custom mobile apps integrated with ERP backend Offered by Zoho in category ERP Modules.
ERP034,Zoho Cloud Hosting Service,HR & Payroll,Zoho,11400,Secure and scalable cloud hosting with backups Offered by Zoho in category HR & Payroll.
ERP035,Zoho Training Services,Inventory & Supply Chain,Zoho,11500,Hands-on training for employees on ERP and modules Offered by Zoho in category Inventory & Supply Chain.
ERP036,Zoho Chatbot Integration,Marketing,Zoho,11600,AI-based chatbot for customer support and automation Offered by Zoho in category Marketing.
ERP037,Zoho API Development,Accounting,Zoho,11700,Custom APIs for integration with external software Offered by Zoho in category Accounting.
ERP038,Zoho Workflow Automation,Custom Services,Zoho,11800,Automate business workflows across modules Offered by Zoho in category Custom Services.
ERP039,Zoho Subscription Management,Integrations,Zoho,11900,"Manage recurring subscriptions, billing, and churn Offered by Zoho in category Integrations."
ERP040,Zoho Purchase Analytics,CRM & Analytics,Zoho,12000,Monitor purchasing trends and supplier performance Offered by Zoho in category CRM & Analytics.
ERP041,Salesforce CRM Module,ERP Modules,Salesforce,12100,"Manage leads, contacts, and customer relationships efficiently Offered by Salesforce in category ERP Modules."
