SKU_ID,Product_Name,Category,Sub_Category,Pack_Size,Unit_Cost_Price,Unit_Selling_Price,Stock_Quantity,Reorder_Level,Supplier_Name,Supplier_Lead_Time_Days,Expiry_Date,Storage_Type,Manufacturing_Date,Batch_Number,Shelf_Life_Days,Location
AM-1001,Amul Almond Milk 1L,Vegan,Almond,1L,125.03,134.28,269,97,Amul Chocolate Works,7,2025-09-11,Ambient,2025-08-08,B3732D,34,STORE-01
AM-1234,Amul Lactose-Free Dairy Milk 100g,Dairy Milk,Lactose-Free,100g,90.43,100.97,211,94,Amul Beverages,7,2025-08-27,Refrigerated,2025-08-12,B8709A,15,STORE-02
AM-1207,Amul Vegan 1L,Vegan,Vegan,1L,35.95,41.85,185,81,Gujarat Co-op,4,2025-10-01,Ambient,2025-08-01,B1827C,61,STORE-01
AM-1002,Amul Soy Milk 1L,Vegan,Soy,1L,115.84,118.84,22,74,Amul Dairy Anand,3,2025-09-21,Ambient,2025-06-11,B7187A,102,WH-02
AM-1207,Amul Vegan 1L,Vegan,Vegan,1L,44.74,59.13,485,100,Amul Ice Creams,4,2025-11-07,Ambient,2025-08-05,B8049A,94,STORE-03
AM-303,Amul Pizza Cheese 100g,Cheese,Pizza,100g,96.7,101.46,10,51,Amul Ice Creams,5,2025-08-19,Refrigerated,2025-03-27,B3813C,145,STORE-04
AM-1231,Amul Kesar Pista Ice Cream 1L,Ice Cream,Kesar,1L,211.79,222.92,230,89,Amul Beverages,3,2026-02-02,Frozen,2025-07-24,B7114C,193,WH-02
AM-1001,Amul Almond Milk 1L,Vegan,Almond,1L,123.78,131.5,416,73,Amul Beverages,5,2025-10-29,Ambient,2025-07-10,B8810D,111,STORE-01
AM-305,Amul Vegan Cheese 200g,Cheese,Vegan,200g,227.45,238.36,72,11,Amul Dairy Anand,2,2025-08-24,Refrigerated,2025-05-17,B3917D,99,STORE-01
AM-1003,Amul Oat Milk 1L,Vegan,Oat,1L,137.69,149.42,43,84,Amul Beverages,3,2025-09-15,Ambient,2025-06-05,B9049C,102,STORE-02
AM-1204,Amul Kool Koko Beverages 1kg,Beverages,Kool,1kg,262.05,271.31,421,27,Gujarat Co-op,7,2025-11-11,Ambient,2025-07-25,B8076A,109,STORE-03
AM-1226,Amul Organic Paneer 250g,Paneer,Organic,250g,272.97,281.3,57,23,Amul Foods Pvt Ltd,3,2025-08-19,Refrigerated,2025-08-08,B9306D,11,STORE-04
AM-1210,Amul Low Fat Paneer 1kg,Paneer,Low,1kg,124.06,126.53,454,86,Amul Beverages,1,2025-08-19,Refrigerated,2025-08-06,B7434A,13,STORE-02
AM-1236,Amul Immunity Booster Functional 250g,Functional,Immunity,250g,164.73,168.89,408,17,Gujarat Co-op,4,2025-11-16,Ambient,2025-06-26,B6754B,143,WH-01
AM-206,Amul Lite Butter 250g,Butter,Lite,250g,82.24,86.65,42,14,Amul Ice Creams,4,2025-12-12,Refrigerated,2025-07-19,B5377D,146,WH-01
AM-1226,Amul Organic Paneer 250g,Paneer,Organic,250g,272.69,285.98,275,71,Amul Protein Division,3,2025-08-18,Refrigerated,2025-08-08,B4088C,10,STORE-02
AM-1201,Amul Full Cream Dairy Milk 1L,Dairy Milk,Full,1L,235.16,246.39,37,43,Amul Protein Division,6,2025-08-18,Refrigerated,2025-08-09,B5751C,9,STORE-05
AM-304,Amul Mozzarella Cheese 200g,Cheese,Mozzarella,200g,195.56,206.23,482,76,Amul Beverages,6,2025-08-27,Refrigerated,2025-05-03,B1360C,116,WH-01
AM-004,Amul Slim Milk 1L,Dairy Milk,Slim,1L,58.49,65.12,244,43,Amul Ice Creams,3,2025-08-18,Refrigerated,2025-08-08,B6733A,10,WH-02
AM-404,Amul Masti Yogurt 500g,Yogurt,Masti,500g,51.28,60.28,171,99,Amul Beverages,4,2025-09-02,Refrigerated,2025-08-05,B9383B,28,STORE-02
AM-702,Amul Milk Chocolate 150g,Chocolate,Milk,150g,100.43,104.87,488,40,Amul Chocolate Works,3,2025-11-02,Ambient,2025-04-18,B6875A,198,WH-01
AM-804,Amul Turmeric Milk 200ml,Beverages,Turmeric,200ml,30.82,45.25,33,100,Amul Foods Pvt Ltd,6,2025-08-18,Ambient,2025-07-04,B9798D,45,STORE-01
