product_id,product_name,subcategory,brand,unit_price,description
P001,H&M Men’s Cotton T-Shirt,Men Clothing,H&M,799,Soft cotton T-shirt with round neck and short sleeves, perfect for casual wear
P002,H&M Women’s Denim Jacket,Women Clothing,H&M,2499,Classic denim jacket with button closure, suitable for layering in all seasons
P003,H&M Kids’ Printed Dress,Kids Clothing,H&M,1299,Cute cotton dress with floral prints and comfortable fit for daily wear
P004,H&M Men’s Slim Fit Chinos,Men Clothing,H&M,1999,Slim-fit chino pants with stretchable waist for comfortable formal and casual wear
P005,H&M Women’s Leggings,Women Clothing,H&M,899,High-waist stretch leggings made from soft breathable fabric
P006,H&M Men’s Leather Belt,Men Accessories,H&M,699,Genuine leather belt with adjustable buckle, ideal for formal and casual wear
P007,H&M Women’s Handbag,Women Accessories,H&M,2499,Stylish medium-sized handbag with multiple compartments and adjustable strap
P008,H&M Men’s Sneakers,Men Footwear,H&M,2999,Casual lace-up sneakers with cushioned sole for comfort
P009,H&M Women’s Sandals,Women Footwear,H&M,1999,Open-toe sandals with ankle strap and cushioned footbed for daily wear
P010,H&M Cotton Bedsheet Set,Home & Lifestyle,H&M,3499,Soft cotton bedsheet set with pillow covers, breathable and durable
P011,H&M Men’s Hoodie,Men Clothing,H&M,1299,Cotton hoodie with drawstring and kangaroo pocket for casual wear
P012,H&M Women’s Wrap Dress,Women Clothing,H&M,1799,Comfortable wrap dress with adjustable waist tie
P013,H&M Kids’ Jeans,Kids Clothing,H&M,999,Denim jeans with elastic waistband for easy wear
P014,H&M Men’s Polo Shirt,Men Clothing,H&M,1099,Classic polo shirt with ribbed collar and short sleeves
P015,H&M Women’s Blouse,Women Clothing,H&M,1499,Semi-formal blouse with button closure and soft fabric
P016,H&M Men’s Chinos,Men Clothing,H&M,1799,Slim-fit stretchable chinos for office and casual outings
P017,H&M Women’s Joggers,Women Clothing,H&M,1299,Comfortable joggers with elastic waist and ankle cuffs
P018,H&M Men’s Casual Belt,Men Accessories,H&M,599,Leather belt suitable for daily wear
P019,H&M Women’s Crossbody Bag,Women Accessories,H&M,1599,Compact crossbody bag with adjustable strap
P020,H&M Men’s Running Shoes,Men Footwear,H&M,2499,Lightweight and breathable running shoes for daily workouts
P021,H&M Women’s Flats,Women Footwear,H&M,1999,Comfortable flats for casual outings
P022,H&M Cotton Pillow Covers,Home & Lifestyle,H&M,599,Set of two cotton pillow covers with modern print
P023,H&M Bed Sheet Set,Home & Lifestyle,H&M,2999,Soft cotton bedsheet set with pillow covers
P024,H&M Women’s Sweater,Women Clothing,H&M,1599,Knit sweater with long sleeves, warm and stylish for winters
P025,H&M Men’s Jacket,Men Clothing,H&M,2999,Lightweight casual jacket with zipper closure
P026,H&M Kids’ Hoodie with Prints,Kids Clothing,H&M,1099,Cotton hoodie with playful printed design
P027,H&M Women’s Anorak Jacket,Women Clothing,H&M,2499,Water-resistant anorak jacket with adjustable hood
P028,H&M Men’s Cargo Pants,Men Clothing,H&M,1999,Durable cargo pants with multiple pockets
P029,H&M Women’s Tunic Top,Women Clothing,H&M,1299,Flowy tunic top with elegant embroidery
P030,H&M Men’s Wallet,Men Accessories,H&M,499,Compact leather wallet for daily use
P031,H&M Women’s Backpack,Women Accessories,H&M,1999,Stylish backpack with multiple compartments
P032,H&M Men’s Casual Shoes,Men Footwear,H&M,2999,Lightweight lace-up shoes for everyday wear
P033,H&M Women’s Sneakers,Women Footwear,H&M,2499,Casual lace-up sneakers with cushioned sole
P034,H&M Cushion Cover Set,Home & Lifestyle,H&M,699,Set of two printed cotton cushion covers
P035,H&M Bedding Set,Home & Lifestyle,H&M,3499,Soft cotton bedsheet set with pillow covers
P036,Zara Men’s Slim Fit Shirt,Men Clothing,Zara,2999,Modern slim-fit shirt with button-down collar and full sleeves, ideal for office wear
P037,Zara Women’s Maxi Dress,Women Clothing,Zara,4499,Elegant maxi dress with floral print and flowy silhouette
P038,Zara Kids’ Hoodie,Kids Clothing,Zara,1599,Soft cotton hoodie with front pocket and comfortable fit
P039,Zara Men’s Casual Blazer,Men Clothing,Zara,4999,Semi-formal blazer with tailored fit, perfect for events and meetings
P040,Zara Women’s Skinny Jeans,Women Clothing,Zara,2499,Stretchable skinny jeans with high-rise waist for stylish everyday wear
P041,Zara Men’s Leather Wallet,Men Accessories,Zara,1299,Genuine leather wallet with multiple card slots and coin pocket
P042,Zara Women’s Tote Bag,Women Accessories,Zara,3999,Spacious tote bag with zip closure and elegant finish
P043,Zara Men’s Sneakers,Men Footwear,Zara,3999,Lace-up sneakers with durable rubber sole and casual design
P044,Zara Women’s Ankle Boots,Women Footwear,Zara,4999,Stylish ankle boots with block heels and zipper closure
P045,Zara Decorative Cushion Cover,Home & Lifestyle,Zara,899,Soft cotton cushion cover with printed patterns
P046,Zara Men’s Hoodie,Men Clothing,Zara,2499,Cotton hoodie with stylish design and drawstring
P047,Zara Women’s Cardigan,Women Clothing,Zara,2999,Soft knit cardigan perfect for layering in cool weather
P048,Zara Kids’ T-Shirt,Kids Clothing,Zara,999,Soft cotton T-shirt with colorful prints
P049,Zara Men’s Denim Jacket,Men Clothing,Zara,4499,Classic denim jacket with button closure
P050,Zara Women’s Skirt,Women Clothing,Zara,2499,Flared skirt with elastic waistband for casual outings
P051,Zara Men’s Loafers,Men Footwear,Zara,6999,Leather loafers with slip-on design
P052,Zara Women’s Ankle Boots,Women Footwear,Zara,7999,Stylish ankle boots with block heel
P053,Zara Leather Belt,Men Accessories,Zara,2499,Genuine leather belt for daily and formal use
P054,Zara Women’s Clutch Bag,Women Accessories,Zara,3999,Elegant leather clutch bag for parties
P055,Zara Sunglasses,Accessories,Zara,3499,UV-protected fashionable sunglasses
