product_id,product_name,subcategory,brand,unit_price,description
ENT001,Stranger Things,TV Shows,Netflix,209,Netflix Original sci-fi series about supernatural events Available on Netflix in category TV Shows.
ENT002,The Witcher,Documentaries,Netflix,219,Fantasy series following Geralt of Rivia battling monsters and politics Available on Netflix in category Documentaries.
ENT003,Money Heist,Kids & Family,Netflix,229,Spanish crime drama about a group of robbers executing heists Available on Netflix in category Kids & Family.
ENT004,The Mandalorian,Anime,Netflix,239,Star Wars series following the bounty hunter Din Djarin Available on Netflix in category Anime.
ENT005,Loki,Reality Shows,Netflix,249,Marvel series following the God of Mischief Available on Netflix in category Reality Shows.
ENT006,The Boys,Netflix Originals,Netflix,259,Dark superhero series exploring corruption and vigilante justice Available on Netflix in category Netflix Originals.
ENT007,Ted Lasso,Hulu Originals,Netflix,269,Comedy series about a coach managing an English football team Available on Netflix in category Hulu Originals.
ENT008,Our Planet,Disney Originals,Netflix,279,Nature documentary series narrated by David Attenborough Available on Netflix in category Disney Originals.
ENT009,My Octopus Teacher,Movies,Netflix,289,Documentary about a filmmaker bonding with an octopus Available on Netflix in category Movies.
ENT010,Cobra Kai,TV Shows,Netflix,299,Action-comedy series continuing Karate Kid legacy Available on Netflix in category TV Shows.
ENT011,Jack Ryan,Documentaries,Netflix,309,Action thriller series following CIA analyst Jack Ryan Available on Netflix in category Documentaries.
ENT012,The Queen's Gambit,Kids & Family,Netflix,319,Limited series about a young chess prodigy Available on Netflix in category Kids & Family.
ENT013,Encanto,Anime,Netflix,329,Animated musical movie about a magical Colombian family Available on Netflix in category Anime.
ENT014,Turning Red,Reality Shows,Netflix,339,Animated coming-of-age film about a teenage girl transforming into a red panda Available on Netflix in category Reality Shows.
ENT015,The Handmaid's Tale,Netflix Originals,Netflix,349,Dystopian drama series based on Margaret Atwood's novel Available on Netflix in category Netflix Originals.
ENT016,Only Murders in the Building,Hulu Originals,Netflix,359,Comedy-mystery series about three neighbors solving crimes Available on Netflix in category Hulu Originals.
ENT017,Foundation,Disney Originals,Netflix,369,Adaptation of Isaac Asimov's classic sci-fi series Available on Netflix in category Disney Originals.
ENT018,Servant,Movies,Netflix,379,Thriller series about a grieving couple and a nanny Available on Netflix in category Movies.
ENT019,For All Mankind,TV Shows,Netflix,389,Alternative history series about the space race Available on Netflix in category TV Shows.
ENT020,Nailed It!,Documentaries,Netflix,399,Comedy reality baking show with amateur bakers Available on Netflix in category Documentaries.
ENT021,Stranger Things (Amazon Prime Video),Kids & Family,Amazon Prime Video,409,Netflix Original sci-fi series about supernatural events Available on Amazon Prime Video in category Kids & Family.
ENT022,The Witcher (Amazon Prime Video),Anime,Amazon Prime Video,419,Fantasy series following Geralt of Rivia battling monsters and politics Available on Amazon Prime Video in category Anime.
ENT023,Money Heist (Amazon Prime Video),Reality Shows,Amazon Prime Video,429,Spanish crime drama about a group of robbers executing heists Available on Amazon Prime Video in category Reality Shows.
ENT024,The Mandalorian (Amazon Prime Video),Netflix Originals,Amazon Prime Video,439,Star Wars series following the bounty hunter Din Djarin Available on Amazon Prime Video in category Netflix Originals.
ENT025,Loki (Amazon Prime Video),Hulu Originals,Amazon Prime Video,449,Marvel series following the God of Mischief Available on Amazon Prime Video in category Hulu Originals.
ENT026,The Boys (Amazon Prime Video),Disney Originals,Amazon Prime Video,459,Dark superhero series exploring corruption and vigilante justice Available on Amazon Prime Video in category Disney Originals.
ENT027,Ted Lasso (Amazon Prime Video),Movies,Amazon Prime Video,469,Comedy series about a coach managing an English football team Available on Amazon Prime Video in category Movies.
ENT028,Our Planet (Amazon Prime Video),TV Shows,Amazon Prime Video,479,Nature documentary series narrated by David Attenborough Available on Amazon Prime Video in category TV Shows.
ENT029,My Octopus Teacher (Amazon Prime Video),Documentaries,Amazon Prime Video,489,Documentary about a filmmaker bonding with an octopus Available on Amazon Prime Video in category Documentaries.
ENT030,Cobra Kai (Amazon Prime Video),Kids & Family,Amazon Prime Video,499,Action-comedy series continuing Karate Kid legacy Available on Amazon Prime Video in category Kids & Family.
ENT031,Jack Ryan (Amazon Prime Video),Anime,Amazon Prime Video,509,Action thriller series following CIA analyst Jack Ryan Available on Amazon Prime Video in category Anime.
ENT032,The Queen's Gambit (Amazon Prime Video),Reality Shows,Amazon Prime Video,519,Limited series about a young chess prodigy Available on Amazon Prime Video in category Reality Shows.
ENT033,Encanto (Amazon Prime Video),Netflix Originals,Amazon Prime Video,529,Animated musical movie about a magical Colombian family Available on Amazon Prime Video in category Netflix Originals.
ENT034,Turning Red (Amazon Prime Video),Hulu Originals,Amazon Prime Video,539,Animated coming-of-age film about a teenage girl transforming into a red panda Available on Amazon Prime Video in category Hulu Originals.
ENT035,The Handmaid's Tale (Amazon Prime Video),Disney Originals,Amazon Prime Video,549,Dystopian drama series based on Margaret Atwood's novel Available on Amazon Prime Video in category Disney Originals.
ENT036,Only Murders in the Building (Amazon Prime Video),Movies,Amazon Prime Video,559,Comedy-mystery series about three neighbors solving crimes Available on Amazon Prime Video in category Movies.
ENT037,Foundation (Amazon Prime Video),TV Shows,Amazon Prime Video,569,Adaptation of Isaac Asimov's classic sci-fi series Available on Amazon Prime Video in category TV Shows.
ENT038,Servant (Amazon Prime Video),Documentaries,Amazon Prime Video,579,Thriller series about a grieving couple and a nanny Available on Amazon Prime Video in category Documentaries.
ENT039,For All Mankind (Amazon Prime Video),Kids & Family,Amazon Prime Video,589,Alternative history series about the space race Available on Amazon Prime Video in category Kids & Family.
ENT040,Nailed It! (Amazon Prime Video),Anime,Amazon Prime Video,599,Comedy reality baking show with amateur bakers Available on Amazon Prime Video in category Anime.
ENT041,Stranger Things (Disney+ Hotstar),Reality Shows,Disney+ Hotstar,609,Netflix Original sci-fi series about supernatural events Available on Disney+ Hotstar in category Reality Shows.
ENT042,The Witcher (Disney+ Hotstar),Netflix Originals,Disney+ Hotstar,619,Fantasy series following Geralt of Rivia battling monsters and politics Available on Disney+ Hotstar in category Netflix Originals.
ENT043,Money Heist (Disney+ Hotstar),Hulu Originals,Disney+ Hotstar,629,Spanish crime drama about a group of robbers executing heists Available on Disney+ Hotstar in category Hulu Originals.
ENT044,The Mandalorian (Disney+ Hotstar),Disney Originals,Disney+ Hotstar,639,Star Wars series following the bounty hunter Din Djarin Available on Disney+ Hotstar in category Disney Originals.
ENT045,Loki (Disney+ Hotstar),Movies,Disney+ Hotstar,649,Marvel series following the God of Mischief Available on Disney+ Hotstar in category Movies.
ENT046,The Boys (Disney+ Hotstar),TV Shows,Disney+ Hotstar,659,Dark superhero series exploring corruption and vigilante justice Available on Disney+ Hotstar in category TV Shows.
ENT047,Ted Lasso (Disney+ Hotstar),Documentaries,Disney+ Hotstar,669,Comedy series about a coach managing an English football team Available on Disney+ Hotstar in category Documentaries.
ENT048,Our Planet (Disney+ Hotstar),Kids & Family,Disney+ Hotstar,679,Nature documentary series narrated by David Attenborough Available on Disney+ Hotstar in category Kids & Family.
ENT049,My Octopus Teacher (Disney+ Hotstar),Anime,Disney+ Hotstar,689,Documentary about a filmmaker bonding with an octopus Available on Disney+ Hotstar in category Anime.
ENT050,Cobra Kai (Disney+ Hotstar),Reality Shows,Disney+ Hotstar,699,Action-comedy series continuing Karate Kid legacy Available on Disney+ Hotstar in category Reality Shows.
ENT051,Jack Ryan (Disney+ Hotstar),Netflix Originals,Disney+ Hotstar,709,Action thriller series following CIA analyst Jack Ryan Available on Disney+ Hotstar in category Netflix Originals.
ENT052,The Queen's Gambit (Disney+ Hotstar),Hulu Originals,Disney+ Hotstar,719,Limited series about a young chess prodigy Available on Disney+ Hotstar in category Hulu Originals.
ENT053,Encanto (Disney+ Hotstar),Disney Originals,Disney+ Hotstar,729,Animated musical movie about a magical Colombian family Available on Disney+ Hotstar in category Disney Originals.
ENT054,Turning Red (Disney+ Hotstar),Movies,Disney+ Hotstar,739,Animated coming-of-age film about a teenage girl transforming into a red panda Available on Disney+ Hotstar in category Movies.
ENT055,The Handmaid's Tale (Disney+ Hotstar),TV Shows,Disney+ Hotstar,749,Dystopian drama series based on Margaret Atwood's novel Available on Disney+ Hotstar in category TV Shows.
ENT056,Only Murders in the Building (Disney+ Hotstar),Documentaries,Disney+ Hotstar,759,Comedy-mystery series about three neighbors solving crimes Available on Disney+ Hotstar in category Documentaries.
ENT057,Foundation (Disney+ Hotstar),Kids & Family,Disney+ Hotstar,769,Adaptation of Isaac Asimov's classic sci-fi series Available on Disney+ Hotstar in category Kids & Family.
ENT058,Servant (Disney+ Hotstar),Anime,Disney+ Hotstar,779,Thriller series about a grieving couple and a nanny Available on Disney+ Hotstar in category Anime.
ENT059,For All Mankind (Disney+ Hotstar),Reality Shows,Disney+ Hotstar,789,Alternative history series about the space race Available on Disney+ Hotstar in category Reality Shows.
ENT060,Nailed It! (Disney+ Hotstar),Netflix Originals,Disney+ Hotstar,799,Comedy reality baking show with amateur bakers Available on Disney+ Hotstar in category Netflix Originals.
ENT061,Stranger Things (Hulu),Hulu Originals,Hulu,809,Netflix Original sci-fi series about supernatural events Available on Hulu in category Hulu Originals.
ENT062,The Witcher (Hulu),Disney Originals,Hulu,819,Fantasy series following Geralt of Rivia battling monsters and politics Available on Hulu in category Disney Originals.
ENT063,Money Heist (Hulu),Movies,Hulu,829,Spanish crime drama about a group of robbers executing heists Available on Hulu in category Movies.
ENT064,The Mandalorian (Hulu),TV Shows,Hulu,839,Star Wars series following the bounty hunter Din Djarin Available on Hulu in category TV Shows.
ENT065,Loki (Hulu),Documentaries,Hulu,849,Marvel series following the God of Mischief Available on Hulu in category Documentaries.
ENT066,The Boys (Hulu),Kids & Family,Hulu,859,Dark superhero series exploring corruption and vigilante justice Available on Hulu in category Kids & Family.
ENT067,Ted Lasso (Hulu),Anime,Hulu,869,Comedy series about a coach managing an English football team Available on Hulu in category Anime.
ENT068,Our Planet (Hulu),Reality Shows,Hulu,879,Nature documentary series narrated by David Attenborough Available on Hulu in category Reality Shows.
ENT069,My Octopus Teacher (Hulu),Netflix Originals,Hulu,889,Documentary about a filmmaker bonding with an octopus Available on Hulu in category Netflix Originals.
ENT070,Cobra Kai (Hulu),Hulu Originals,Hulu,899,Action-comedy series continuing Karate Kid legacy Available on Hulu in category Hulu Originals.
ENT071,Jack Ryan (Hulu),Disney Originals,Hulu,909,Action thriller series following CIA analyst Jack Ryan Available on Hulu in category Disney Originals.
ENT072,The Queen's Gambit (Hulu),Movies,Hulu,919,Limited series about a young chess prodigy Available on Hulu in category Movies.
ENT073,Encanto (Hulu),TV Shows,Hulu,929,Animated musical movie about a magical Colombian family Available on Hulu in category TV Shows.
ENT074,Turning Red (Hulu),Documentaries,Hulu,939,Animated coming-of-age film about a teenage girl transforming into a red panda Available on Hulu in category Documentaries.
ENT075,The Handmaid's Tale (Hulu),Kids & Family,Hulu,949,Dystopian drama series based on Margaret Atwood's novel Available on Hulu in category Kids & Family.
ENT076,Only Murders in the Building (Hulu),Anime,Hulu,959,Comedy-mystery series about three neighbors solving crimes Available on Hulu in category Anime.
ENT077,Foundation (Hulu),Reality Shows,Hulu,969,Adaptation of Isaac Asimov's classic sci-fi series Available on Hulu in category Reality Shows.
ENT078,Servant (Hulu),Netflix Originals,Hulu,979,Thriller series about a grieving couple and a nanny Available on Hulu in category Netflix Originals.
ENT079,For All Mankind (Hulu),Hulu Originals,Hulu,989,Alternative history series about the space race Available on Hulu in category Hulu Originals.
ENT080,Nailed It! (Hulu),Disney Originals,Hulu,999,Comedy reality baking show with amateur bakers Available on Hulu in category Disney Originals.
ENT081,Stranger Things (HBO Max),Movies,HBO Max,1009,Netflix Original sci-fi series about supernatural events Available on HBO Max in category Movies.
ENT082,The Witcher (HBO Max),TV Shows,HBO Max,1019,Fantasy series following Geralt of Rivia battling monsters and politics Available on HBO Max in category TV Shows.
ENT083,Money Heist (HBO Max),Documentaries,HBO Max,1029,Spanish crime drama about a group of robbers executing heists Available on HBO Max in category Documentaries.
ENT084,The Mandalorian (HBO Max),Kids & Family,HBO Max,1039,Star Wars series following the bounty hunter Din Djarin Available on HBO Max in category Kids & Family.
ENT085,Loki (HBO Max),Anime,HBO Max,1049,Marvel series following the God of Mischief Available on HBO Max in category Anime.
ENT086,The Boys (HBO Max),Reality Shows,HBO Max,1059,Dark superhero series exploring corruption and vigilante justice Available on HBO Max in category Reality Shows.
ENT087,Ted Lasso (HBO Max),Netflix Originals,HBO Max,1069,Comedy series about a coach managing an English football team Available on HBO Max in category Netflix Originals.
ENT088,Our Planet (HBO Max),Hulu Originals,HBO Max,1079,Nature documentary series narrated by David Attenborough Available on HBO Max in category Hulu Originals.
ENT089,My Octopus Teacher (HBO Max),Disney Originals,HBO Max,1089,Documentary about a filmmaker bonding with an octopus Available on HBO Max in category Disney Originals.
